,alt_names,flags,system,names,list,separation,position_angle,mass,magUltraviolet,magBlue,magH_nearinf,magInfared,magJ_nearinf,magK_nearinf,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,inclination,parent_obj,child_obj,stars,period,semi_major_axis,eccentricity,longitude,ascending_node
0,"['16 Cyg AC', 'WDS J19418+5032 A']",Flags(lculated Period'),System('16 Cygni'),16 Cygni AC,[],72.0 au,209,,,,,,,,,,,,21.146 pc,,,,,Binary('16 Cygni'),"[Star('16 Cygni A'), Star('16 Cygni C')]","[Star('16 Cygni A'), Star('16 Cygni C')]",,,,,
1,"['16 Cyg', 'WDS J19418+5032']",Flags(lculated Period'),System('16 Cygni'),16 Cygni,[],836.5 au,133.30,,,,,,,,,,,,21.146 pc,,,,,System('16 Cygni'),"[Binary('16 Cygni AC'), Star('16 Cygni B')]","[Binary('16 Cygni AC'), Star('16 Cygni B')]",,,,,
2,"['2M0441+2301 A', '2M0441+2301 Aab', '2MASS J04414565+2301580']",Flags(lculated Period'),System('2M 044144'),2M 044145,[],34.0 au,79.61,,,,,,,,,,,,145.0 pc,,,,,Binary('2M0441+2301'),"[Star('2M0441+2301 Aa'), Star('2M0441+2301 Ab')]","[Star('2M0441+2301 Aa'), Star('2M0441+2301 Ab')]",,,,,
3,['2M0441+2301 AabBab'],Flags(lculated Period'),System('2M 044144'),2M0441+2301,[],1800.0 au,237.3,,,,,,,,,,,,145.0 pc,,,,,System('2M 044144'),"[Binary('2M 044145'), Star('2M 044144')]","[Binary('2M 044145'), Star('2M 044144')]",,,,,
4,"['Kepler-451', 'KIC 9472174', '2MASS J19383260+4603591', 'WISE J193832.61+460358.9', 'TYC 3556-3568-1', 'NSVS 5629361']",Flags(),System('2M 1938+4603'),2M 1938+4603,[],,,,,,,,,,,,,,400.8 pc,,,,69.45,System('2M 1938+4603'),"[Star('2M 1938+4603 A'), Star('2M 1938+4603 B'), Planet('2M 1938+4603 b')]","[Star('2M 1938+4603 A'), Star('2M 1938+4603 B'), Planet('2M 1938+4603 b')]",0.125765282,0.00414,,,
5,"['2MASS J0249-0557', 'Gaia DR2 5183875103632956032']",Flags(lculated Period'),System('2MASS J02495639-0557352'),2MASS J02495639-0557352,[],2.17 au,233.1,,,,,,,,,,,,48.9 pc,,,,,System('2MASS J02495639-0557352'),"[Star('2MASS J02495639-0557352 A'), Star('2MASS J02495639-0557352 B'), Planet('2MASS J02495639-0557352 c')]","[Star('2MASS J02495639-0557352 A'), Star('2MASS J02495639-0557352 B'), Planet('2MASS J02495639-0557352 c')]",,,,,
6,"['30 Arietis A', 'HD 16246', 'HIP 12189', 'TYC 1771-1398-1', 'SAO 75471', 'HR 765', 'BD+24 376', '2MASS J02370051+2438500', 'WDS J02370+2439 A']",Flags(),System('30 Ari'),30 Ari A,[],,,,,,,,,,,,,,45.2 pc,281.4 deg,,,,Binary('30 Ari'),"[Star('30 Ari Aa'), Star('30 Ari Ab')]","[Star('30 Ari Aa'), Star('30 Ari Ab')]",1.1095,0.02,0.06,,
7,['RAO 8'],Flags(lculated Period'),System('30 Ari'),30 Ari BC,[],22.3 au,285.2,,,,,,,,,,,,45.2 pc,,,,,Binary('30 Ari'),"[Star('30 Ari B'), Star('30 Ari C')]","[Star('30 Ari B'), Star('30 Ari C')]",,,,,
8,"['30 Arietis', 'WDS J02370+2439', 'STFA 5']",Flags(lculated Period'),System('30 Ari'),30 Ari,[],1580.0 au,275,,,,,,,,,,,,45.2 pc,,,,,System('30 Ari'),"[Binary('30 Ari A'), Binary('30 Ari BC')]","[Binary('30 Ari A'), Binary('30 Ari BC')]",,,,,
9,"['WDS J04376-0228 C', 'KAS 1', '2MASS J04373746-0229282', 'WAL 32 B']",Flags(),System('51 Eri'),GJ 3305,[],,,,,,,,,,,,,,29.4 pc,-69.0 deg,,,92.1,Binary('WDS J04376-0228'),"[Star('GJ 3305 A'), Star('GJ 3305 B')]","[Star('GJ 3305 A'), Star('GJ 3305 B')]",10650,9.80,0.19,,18.8
