,name,flags,system,radius,orbital_inclination,seperation,age,transit_time,longitude,ascending_node,discovery_method,discovery_year,description ,alt_names,list,type,mass,semi_major_axis,orbital_period,periastron,periastron_time,eccentricity,distance,temp,right_ascension,declination,parent_obj,star
0,11 Com b,Flags(lculated Temperature'),System('11 Com'),,,,,,,,RV,2008,11 Com b is a brown dwarf-mass companion to the intermediate-mass star 11 Comae Berenices.,"['Gaia DR2 3946945413106333696 b', 'HIP 60202 b', 'HD 107383 b', 'TYC 1445-2560-1 b', '11 Com b']",['Confirmed planets'],<bound method Planet.type of Planet('11 Com b')>,19.4 M_j,1.29 au,326.03 d,94.8 deg,2452899.6,0.231,88.9 pc,937.0133271303275 K,185d10m45.3825s,17d47m34.3392s,Star('11 Com'),Star('11 Com')
1,11 UMi b,Flags(lculated Temperature'),System('11 UMi'),,,,,,,,RV,2009,11 Ursae Minoris is a star located in the constellation Ursa Minor and also named Pherkard or Pherkad Minor.,"['11 Ursae Minoris b', 'HD 136726 b', 'TYC 4414-2315-1 b', 'Pherkad Minor b', 'Gaia DR2 1696798367260229376 b', 'HIP 74793 b', '11 UMi b']",['Confirmed planets'],<bound method Planet.type of Planet('11 UMi b')>,11.2 M_j,1.54 au,516.22 d,117.63 deg,2452861.04,0.08,122.1 pc,883.608496617316 K,229d16m28.3348s,71d49m26.0466s,Star('11 UMi'),Star('11 UMi')
2,14 And b,Flags(lculated Temperature'),System('14 And'),,,,,,,,RV,2008,14 Andromedae is an evolved star in the constellation of Andromeda. It was formerly an A-type dwarf.,"['14 Andromedae b', 'HD 221345 b', 'TYC 3231-323-1 b', 'Veritate b', 'Gaia DR2 1920113512486282240 b', 'HIP 116076 b', '14 And b']",['Confirmed planets'],<bound method Planet.type of Planet('14 And b')>,4.8 M_j,0.83 au,185.84 d,0.0 deg,2452861.4,0.0,79.2 pc,902.143098353914 K,352d49m21.2019s,39d14m10.3092s,Star('14 And'),Star('14 And')
3,14 Her b,Flags(lculated Temperature'),System('14 Her'),,,,,,,,RV,2002,"The star 14 Herculis is only 59 light years away in the constellation Hercules. However, because it is an orange dwarf star it can not be seen with the naked eye. There is only one confirmed planet in the system, but a dynamical analysis suggests that they might be two planets locked in a 4:1 mean motion resonance.","['HD 145675 b', 'GJ 614 b', 'TYC 3067-576-1 b', 'Gaia DR2 1385293808145621504 b', 'HIP 79248 b', '14 Her b']",['Confirmed planets'],<bound method Planet.type of Planet('14 Her b')>,4.975 M_j,2.864 au,1766.0 d,22.23 deg,,0.359,18.1 pc,135.95923002099366 K,242d36m04.728s,43d49m03.4987s,Star('14 Her'),Star('14 Her')
4,14 Her c,Flags(lculated Temperature'),System('14 Her'),,,,,,,,RV,2006,"14 Her c is the second companion in the system. Its properties are not yet well-constrained, though both radial velocity and direct imaging results give some constraints on its properties.","['HD 145675 c', 'GJ 614 c', 'TYC 3067-576-1 c', 'Gaia DR2 1385293808145621504 c', 'HIP 79248 c', '14 Her c']",['Controversial'],<bound method Planet.type of Planet('14 Her c')>,7.679 M_j,9.037 au,9886.0 d,189.076 deg,,0.184,18.1 pc,76.53904904444423 K,242d36m04.728s,43d49m03.4987s,Star('14 Her'),Star('14 Her')
5,16 Cygni B b,Flags(lculated Temperature'),System('16 Cygni'),,45.0 deg,,,,,,RV,1996,16 Cygni is a hierarchical triple system. The star is in the Kepler field of view. In an active search for extra-terrestrial intelligence a radio message has been sent to this system on May 24 1999. It will reach the system in 2069.,"['16 Cyg B b', 'HD 186427 B b', '16 Cygni B b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('16 Cygni B b')>,1.77 M_j,1.72 au,799.5 d,83.4 deg,2450539.3,0.689,21.146 pc,239.64471304591123 K,,,Star('16 Cygni B'),Star('16 Cygni B')
6,18 Del b,Flags(lculated Temperature'),System('18 Del'),,,,,,,,RV,2008,18 Delphini is a star in the constellation of Delphinus.,"['18 Delphini b', 'HD 199665 b', 'Gaia DR2 1756741374681702784 b', 'HIP 103527 b', 'Musica b', 'TYC 1107-2709-1 b', '18 Del b']",['Confirmed planets'],<bound method Planet.type of Planet('18 Del b')>,10.3 M_j,2.6 au,993.3 d,166.1 deg,2451672,0.08,75.3 pc,463.51862342293697 K,314d36m29.0095s,10d50m21.4289s,Star('18 Del'),Star('18 Del')
7,1RXS1609 b,Flags(),System('1RXS1609'),1.7 R_j,,330.0 au,,,,,imaging,2008,"1RXS J160929.1-210524 is a 5 million year old pre-main sequence star in the constellation of Scorpius. The observed planet has a large separation, posing problems for current formation scenarios. Two possibilities are that the planet formed by gravitational instability or migrated outwards. There is evidence that 1RXS 1609 b is surrounded by a dust disc inclined to the line of sight.","['1RXS J160929.1-210524 b', 'GSC 6213-1358 b', '1RXS1609 b']",['Confirmed planets'],<bound method Planet.type of Planet('1RXS1609 b')>,16.0 M_j,,,,,,145.0 pc,2000.0 K,242d22m30s,-21d04m58s,Star('1RXS1609'),Star('1RXS1609')
8,1SWASP J1407 b,"Flags(lculated Temperature', 'Calculated SMA')",System('1SWASP J1407'),,,,,,,,transit,2007,"The light curve of 1SWASP J140747.93-394542.6 underwent a complex series of deep eclipses that lasted 56 days in April 2007. This light curve is interpreted as the transit of a giant ring system that is filling up a fraction of the Hill sphere of an unseen secondary companion, J1407b. The object is currently listed as controversial as various inconsistencies arise in current models and it is not clear that the object really is a planet.","['1SWASP J140747.93-394542.6 b', 'J1407 b', '1SWASP J1407 b']",['Controversial'],<bound method Planet.type of Planet('1SWASP J1407 b')>,14.0 M_j,,,,,0.8,133.0 pc,,211d56m58.95s,-39d45m42.7s,Star('1SWASP J1407'),Star('1SWASP J1407')
9,24 Boo b,Flags(lculated Temperature'),System('24 Boo'),,,,,,,,RV,2018,This planet was discovered by Takarada et al. 2018. This was a ground based discovery. The parameters listed here are those reported by Takarada et al. 2018 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,"['HD 127243 b', 'HIP 70791 b', 'TYC 3475-1198-1 b', 'Gaia DR2 1603662211901473408 b', '24 Boo b']",['Confirmed planets'],<bound method Planet.type of Planet('24 Boo b')>,0.91 M_j,0.19 au,30.3506 d,210.0 deg,,0.042,96.25 pc,1885.261081307382 K,217d09m27.195s,49d50m41.461s,Star('24 Boo'),Star('24 Boo')
10,24 Sex b,Flags(lculated Temperature'),System('24 Sex'),,,,,,,,RV,2010,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,"['24 Sextantis b', 'HD 90043 b', 'TYC 4905-1374-1 b', 'HIP 50887 b', 'Gaia DR2 3830897080395058048 b', '24 Sex b']",['Confirmed planets'],<bound method Planet.type of Planet('24 Sex b')>,1.99 M_j,1.333 au,452.8 d,9.2 deg,2454762,0.09,74.8 pc,503.2514899659467 K,155d52m05.5395s,-0d54m08.0771s,Star('24 Sex'),Star('24 Sex')
11,24 Sex c,Flags(lculated Temperature'),System('24 Sex'),,,,,,,,RV,2010,24 Sextantis is located in the constellation of Sextans. The two planets in the system are in a 2:1 mean motion resonance.,"['24 Sextantis c', 'TYC 4905-1374-1 c', 'HIP 50887 c', 'Gaia DR2 3830897080395058048 c', 'HD 90043 c', '24 Sex c']",['Confirmed planets'],<bound method Planet.type of Planet('24 Sex c')>,0.86 M_j,2.08 au,883.0 d,220.5 deg,2454930,0.29,74.8 pc,402.8732913338048 K,155d52m05.5395s,-0d54m08.0771s,Star('24 Sex'),Star('24 Sex')
12,2M 044144 b,Flags(),System('2M 044144'),,,14.0 au,,,,,imaging,2010,"2M 044144 b is the lowest-mass member of the quadruple system 2M0441+2301. Despite having a mass below the deuterium-fusion limit, the low mass ratio between 2M 044144 A and B suggests it likely formed by turbulent fragmentation rather than core accretion.","['2M 044144 B', '2MASS J04414489+2301513 B', '2M0441+2301 Bb', '2M 044144 b']","['Confirmed planets', 'Planets in binary systems, S-type']",<bound method Planet.type of Planet('2M 044144 b')>,9.8 M_j,,,,,,145.0 pc,1800.0 K,,,Star('2M 044144'),Star('2M 044144')
13,2M 0746+20 b,Flags(lculated Temperature'),System('2M 0746+20'),0.97 R_j,138.2 deg,,,,,,imaging,2010,,"['2MASS J07464256+2000321 B', '2M 0746+20 b']",['Confirmed planets'],<bound method Planet.type of Planet('2M 0746+20 b')>,30.0 M_j,2.897 au,,,,0.487,12.21 pc,19.899016973012316 K,116d40m38.43s,20d00m32.18s,Star('2M 0746+20'),Star('2M 0746+20')
