,children,ra,dec,dist,pmra,pmdec,rv,mag,absmag,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,comp_primary,lum,HE,NEP,CE,CN,CJ,HN,HSE,JUP,SE,WJ,WN,WSE,I,II,III,IV,V,VI,...,:,+,0,1,2,3,4,5,6,7,8,9,A,B,C,E,F,G,K,N,M,RD,S,W,O,D,n,e
0,1.0,0.042783,54.552139000000004,10.0,1.53,-8.82,0.0,8.62,-0.573,0.303,399.94863,4.479805000000001,561.82321,2.396e-05,5.38e-06,-1.71e-05,0.011200436904431484,0.9521144458450476,7.4176493125e-09,-4.2760565999999996e-08,202.0,147.63862777538625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1.0,1.025859,-71.549548,12.0,11.43,-40.22,0.0,7.76,1.828,1.095,46.872322,12.900181,-145.71390300000002,-2.965e-05,6.7e-07,-9.48e-06,0.2685692948742823,-1.2487751911805425,5.54142036875e-08,-1.94992062e-07,4783.0,16.173350557998518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,1.0,3.450856,2.9994240000000003,10.0,24.66,3.68,0.0,10.93,4.177,0.47200000000000003,138.580723,175.869819,11.732268,-2.118e-05,1.642e-05,3.99e-06,0.9034318731067192,0.05234983211000125,1.19555053625e-07,1.7841143e-08,16037.0,1.8586602026885397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,2.0,1.981799,18.358092000000003,10.0,51.9,-23.34,0.0,6.79,-0.998,1.202,297.54592,169.90306299999997,113.702123,-3.387e-05,8.526e-05,-3.877e-05,0.5188338656601269,0.3204091428892613,2.5161830020833336e-07,-1.13155513e-07,9229.0,218.37353276021747,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0.0,1.479784,-26.549912,13.0,38.2,-9.46,0.0,10.45,4.548,0.637,125.492799,51.20443,-67.72384699999999,-1.348e-05,2.481e-05,-6.22e-06,0.3874066644897272,-0.4633833853045225,1.8519882597222226e-07,-4.5863374000000005e-08,6881.0,1.3206872951464232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1.0,1.4813690000000002,-23.825019,12.0,33.75,-8.08,0.0,8.26,0.326,1.113,326.967988,133.569906,-155.963246,-2.954e-05,5.617e-05,-1.383e-05,0.3878214147154004,-0.4158250327632688,1.636246171875e-07,-3.9172945e-08,6887.0,64.50598332848317,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6,1.0,0.749959,-53.714895,11.0,223.4,2.2,14.0,6.15,2.8080000000000003,0.524,27.047255,5.379912,-37.562159,-1.14e-06,5.123e-05,-1.125e-05,0.19633869389542066,-0.9375017736733752,1.0830737623611109e-06,1.0665899999999999e-08,3519.0,6.5584316980672765,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1.0,0.163481,-40.892934000000004,5.0,135.91,-119.62,0.0,8.57,4.14,0.644,58.095549,2.488079,-50.357521999999996,-3.134e-05,4.939e-05,-3.372e-05,0.04279935446489088,-0.713716336423585,6.589102732430554e-07,-5.79934124e-07,788.0,1.9230917289101583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,2.0,0.181524,-13.902804000000001,9.0,6.0,4.85,0.0,7.71,-12.29,1.253,96960.880371,4611.322554,-24027.554637999998,0.00042611,0.00293218,0.00228226,0.04752277252718229,-0.2426497032571988,2.9088820833333333e-08,2.3513463e-08,885.0,7177942.91271363,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
9,1.0,0.460437,-20.134524,10.0,59.55,4.96,10.8,6.78,1.5730000000000002,0.261,102.538488,12.420437,-37.868625,7.38e-06,3.288e-05,-1.32e-06,0.12054208718228425,-0.3514137435908675,2.887065467708333e-07,2.4046757999999996e-08,2179.0,20.45502431109355,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0,0.607444,22.033676,6.0,-12.77,-12.2,0.0,8.27,1.4769999999999999,0.09699999999999999,208.965003,33.514383,85.65102399999999,7.24e-06,-1.315e-05,-1.252e-05,0.1590284822813137,0.3845601964613963,-6.191070700694443e-08,-5.9147268999999997e-08,2869.0,22.346010577312228,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.0,0.072243,40.109947999999996,11.0,-4.17,-2.78,-88.7,10.66,4.3180000000000005,1.5,141.868214,2.6834729999999998,119.527612,-6.769e-05,-5.03e-06,-6.036e-05,0.018913048103608308,0.700050661069075,-2.021673047916667e-08,-1.347782e-08,344.0,1.6323000728189951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,3.0,0.7961189999999999,74.847573,13.0,15.03,-5.94,-3.0,5.42,-1.4480000000000002,-0.066,60.456458,12.786342999999999,228.18762900000002,2.08e-06,1.805e-05,-4.74e-06,0.20842347059059166,1.3063365830180949,7.286749618749999e-08,-2.8797932e-08,3713.0,330.52171686998014,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.0,0.534637,-18.221992999999998,13.0,38.19,-26.0,0.0,7.07,0.752,1.245,172.580333,24.314668,-57.376051000000004,-1.19e-05,3.263e-05,-2.197e-05,0.1399676430655153,-0.318033777951115,1.8515034460416665e-07,-1.26051556e-07,2521.0,43.571248050308405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
14,1.0,0.321407,14.054754999999998,12.0,75.0,-17.55,-9.5,8.36,2.35,0.92,153.922235,12.982322,38.670219,-1.098e-05,5.717e-05,-1.55e-05,0.08414413758977865,0.24530175750799998,3.636102604166667e-07,-8.50848e-08,1544.0,9.999999999999998,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,5.0,0.763227,66.49270200000001,24.0,2.92,-57.25,0.0,7.54,4.095,0.545,19.107053,3.869464,44.819654,1.205e-05,3.15e-06,-5.41e-06,0.19981240886989535,1.16051658338647,1.4156559472222219e-08,-2.7755583200000003e-07,3579.0,2.004472027365161,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,3.0,1.053403,-27.108199,12.0,18.75,-8.83,-40.0,8.98,-0.914,1.6,815.72505,230.84315099999998,-433.97346699999997,-7.649e-05,6.832e-05,-1.765e-05,0.2757803433974447,-0.4731273245791612,9.090256510416667e-08,-4.2809046999999995e-08,4914.0,202.11567669607533,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
17,1.0,0.21676399999999998,55.859005,10.0,-1.05,-2.61,0.0,7.94,-12.06,0.501,56032.786802999995,3183.19852,82765.899079,0.00107438,-0.0004488,-0.0007101,0.0567486084577431,0.9749235612806764,-5.090543645833334e-09,-1.2653637e-08,1037.0,5807644.175213124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.0,1.2260280000000001,-25.726097,11.0,19.61,3.75,0.0,10.52,-9.48,0.38,85487.03561,28421.889736,-43406.9456,-0.00225037,0.00926982,0.0016377,0.3209734198796741,-0.4490050909205113,9.507196275694443e-08,1.8180513e-08,5709.0,539510.6225151279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,1.0,0.37951999999999997,-16.567698999999998,10.0,0.68,-23.76,0.0,8.2,-0.5,1.499,524.0418589999999,52.239883,-156.674747,-1.814e-05,1e-08,-6.066e-05,0.09935821584641401,-0.2891609029276375,3.296733027777778e-09,-1.1519173e-07,1787.0,138.03842646028852,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
