680,HD 195689,"Flags(timated magU', 'Estimated magN', 'Estimated magL', 'Estimated magM')",System('HD 195689'),A0,,A,0,V,10170.0 K,,0.01,NaN,NaN,"['TYC 3157-638-1', 'Gaia DR2 2064327278651198336', 'HIP 101252']",7.56,7.59,7.492,NaN,7.458,7.482,7.56,7.56,7.56,7.59,205.7 pc,NaN,307d51m35.301s,39d56m19.7651s,System('HD 195689'),[Planet('HD 195689 b')],[]
121,DP Leo A,Flags(),System('DP Leo'),AM Her,,A,0,V,13500.0 K,0.0144 R_s,0.01,0.6 M_s,NaN,[],,,,,,,17.5,,,17.5,400.0 pc,NaN,NaN,NaN,Binary('DP Leo'),[],[]
15,2M 0746+20,Flags(),System('2M 0746+20'),L0/L1.5,,L,0,V,2205.0 K,0.089 R_s,,0.12 M_s,NaN,['2MASS J07464256+2000321 A'],,,,NaN,,,17.7,,,17.7,12.21 pc,NaN,116d40m38.43s,20d00m32.18s,System('2M 0746+20'),[Planet('2M 0746+20 b')],[]
3411,WASP-2 B,"Flags(timated magM', 'Estimated magU', 'Estimated magL', 'Estimated magV', 'Estimated magN', 'Estimated magB')",System('WASP-2'),M0,,M,0,V,3509.0 K,,,0.383 M_s,NaN,[],18.496,17.246,12.4863,NaN,13.046,12.503,15.836,12.046,12.046,,165.8 pc,NaN,NaN,NaN,Binary('WASP-2'),[],[]
240,GJ 3138,"Flags(timated magM', 'Estimated magU', 'Estimated magL', 'Estimated magK', 'Estimated magH', 'Estimated magJ')",System('GJ 3138'),M0,,M,0,V,3717.0 K,0.5 R_s,,0.681 M_s,-0.3,"['HIP 10037', 'Gaia DR2 5144740907820131840', 'TYC 5859-1512-1']",13.537,12.82,7.397,NaN,8.087,7.227,10.877,7.087,7.087,,28.49 pc,NaN,32d17m43.518s,-16d20m22.5287s,System('GJ 3138'),"[Planet('GJ 3138 b'), Planet('GJ 3138 c'), Planet('GJ 3138 d')]",[]
3024,L 168-9,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('L 168-9'),M1V,,M,0,V,3800.0 K,0.6 R_s,,0.62 M_s,0.04,"['HIP 115211', 'TYC 9126-748-1', 'GJ 4332', 'Gaia DR2 6491962296196145664']",13.754,12.45,7.32,9.06,7.941,7.082,11.014,6.994,6.994,,25.17 pc,NaN,350d01m52.8675s,-60d03m54.6445s,System('L 168-9'),[Planet('L 168-9 b')],[]
2349,Kepler-45,Flags(),System('Kepler-45'),M,13.9 Gyr,M,0,V,3820.0 K,0.55 R_s,,0.59 M_s,0.08,"['KOI-254', 'KIC 5794240', '2MASS J19312949+4103513', 'Gaia DR2 2053562475706063744']",,,13.077,NaN,13.749,12.89,16.88,,,,333.0 pc,NaN,292d52m22.449s,41d03m51.3563s,System('Kepler-45'),[Planet('Kepler-45 b')],[]
150,EPIC 201637175 A,"Flags(timated magM', 'Estimated magU', 'Estimated magL', 'Estimated magV', 'Estimated magN', 'Estimated magB')",System('EPIC 201637175'),M0V,,M,0,V,3830.0 K,0.57 R_s,,0.6 M_s,0.03,"['K2-22 A', '2MASS J11175587+0237086 A']",18.19,16.94,12.09,NaN,12.74,11.91,15.53,11.74,11.74,,225.0 pc,NaN,NaN,NaN,Binary('EPIC 201637175'),[Planet('EPIC 201637175 b')],[]
117,DH Tau,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('DH Tau'),M0.5V,,M,0,V,3840.0 K,,,0.4 M_s,NaN,['Gaia DR2 151374202498079872'],16.37,15.23,8.824,NaN,9.767,8.178,13.71,9.92,9.92,,140.01 pc,NaN,67d25m23.28s,26d32m58.1237s,System('DH Tau'),[Planet('DH Tau B')],[]
971,HIP 12961,"Flags(timated magU', 'Estimated magL', 'Estimated magM')",System('HIP 12961'),M0V,,M,0,V,3840.0 K,,,0.67 M_s,-0.07,"['Gaia DR2 5077642283022422656', 'TYC 6434-494-1', 'Koeia']",12.97,11.651,6.927,8.544,7.558,6.736,10.31,6.52,6.52,,23.0 pc,NaN,41d40m43.299s,-23d05m11.8024s,System('HIP 12961'),[Planet('HIP 12961 b')],[]
3252,TOI-1899,"Flags(timated magM', 'Estimated magU', 'Estimated magL', 'Estimated magV', 'Estimated magN', 'Estimated magB')",System('TOI-1899'),M0,,M,0,V,3841.0 K,0.61 R_s,,0.63 M_s,0.31,[],16.792,15.542,10.666,NaN,11.342,10.509,14.132,10.342,10.342,,128.4 pc,NaN,299d25m30s,40d08m36s,System('TOI-1899'),[Planet('TOI-1899 b')],[]
3207,ROXs 42 B A,"Flags(timated magM', 'Estimated magU', 'Estimated magL', 'Estimated magV', 'Estimated magN', 'Estimated magB', 'Estimated magH', 'Estimated magJ')",System('ROXs 42 B'),M0,0.0068 Gyr,M,0,V,3850.0 K,,,0.89 M_s,NaN,[],15.31,14.06,9.17,NaN,9.86,9,12.65,8.86,8.86,,120.0 pc,NaN,NaN,NaN,Binary('ROXs 42 B'),[],[]
