,spectral_type,temp,metallicity,altnames,mass,magUltraviolet,magBlue,magH_nearinfared,magInfared,magJ_nearinfared,magK_nearinfared,magVisual,magL_nq_midinfared,magM_midinfared,magN_midinfared,distance,periastron,right_ascension,declination,parent_obj,child_obj,list,planet1type,planet2type,planet3type,planet4type,planet5type,planet6type,planet7type,planet8type,planet9type,proper,flags,system,radius,age,hip,hd,hr,gl
0,G8 III,4742.0 K,-0.35,"['11 Comae Berenices', 'HD 107383', 'HIP 60202', 'TYC 1445-2560-1', 'SAO 100053', 'HR 4697', 'BD+18 2592', '2MASS J12204305+1747341', 'Gaia DR2 3946945413106333696']",2.7 M_s,,5.74,2.484,,2.943,2.282,4.74,,,,88.9 pc,,185d10m45.3825s,17d47m34.3392s,System('11 Com'),[Planet('11 Com b')],[],Warm Jupiter,,,,,,,,,11 Com,Flags(),System('11 Com'),19.0 R_s,,202.0,7383.0,697.0,
1,K4III,4340.0 K,0.04,"['11 Ursae Minoris', 'Pherkard', 'Pherkad Minor', 'HD 136726', 'HIP 74793', 'TYC 4414-2315-1', 'SAO 8207', 'HR 5714', 'BD+72 678', '2MASS J15170588+7149258', 'Gaia DR2 1696798367260229376']",1.8 M_s,,6.415,2.091,,2.876,1.939,5.024,,,,122.1 pc,,229d16m28.3348s,71d49m26.0466s,System('11 UMi'),[Planet('11 UMi b')],[],Warm Jupiter,,,,,,,,,11 UMi,Flags(),System('11 UMi'),24.08 R_s,,4793.0,36726.0,714.0,
2,K0III,4813.0 K,-0.24,"['14 Andromedae', 'HD 221345', 'HIP 116076', 'TYC 3231-323-1', 'HR 8930', 'BD+38 5023', '2MASS J23311742+3914102', 'Veritate', 'Gaia DR2 1920113512486282240']",2.2 M_s,,6.24,2.608,4.1,3.019,2.331,5.22,,,,79.2 pc,,352d49m21.2019s,39d14m10.3092s,System('14 And'),[Planet('14 And b')],[],Warm Jupiter,,,,,,,,,14 And,Flags(),System('14 And'),11.0 R_s,,16076.0,21345.0,930.0,
3,K0 V,5311.0 K,0.43,"['HD 145675', 'HIP 79248', 'TYC 3067-576-1', 'SAO 45933', 'Gliese 614', 'GJ 614', 'BD+44 2549', '2MASS J16102432+4349037', 'Gaia DR2 1385293808145621504']",1.0 M_s,,7.57,4.803,5.6,5.158,4.714,6.67,,,,18.1 pc,,242d36m04.728s,43d49m03.4987s,System('14 Her'),"[Planet('14 Her b'), Planet('14 Her c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,14 Her,Flags(),System('14 Her'),0.708 R_s,,9248.0,45675.0,,GJ 614
4,G2V,5825.0 K,0.096,"['16 Cyg A', 'HD 186408', 'HIP 96895', 'TYC 3565-1524-1', 'SAO 31898', 'HR 7503', 'Gliese 765.1 A', 'GJ 765.1 A', 'BD+50 2847', '2MASS J19414896+5031305', 'KIC 12069424', 'WDS J19418+5032 Aa']",1.11 M_s,,6.59,4.72,,5.09,4.43,5.95,,,,21.146 pc,,,,Binary('16 Cygni AC'),[],[],,,,,,,,,,16 Cygni A,Flags(),System('16 Cygni'),1.243 R_s,6.8 Gyr,6895.0,86408.0,503.0,GJ 765.1 A
5,M,,,"['16 Cyg C', 'WDS J19418+5032 Ab']",0.17 M_s,,,,,,,13.0,,,,21.146 pc,,,,Binary('16 Cygni AC'),[],[],,,,,,,,,,16 Cygni C,Flags(),System('16 Cygni'),,,,,,
6,G2V,5750.0 K,0.052,"['16 Cyg B', 'HD 186427', 'HIP 96901', 'TYC 3565-1525-1', 'SAO 31899', 'HR 7504', 'Gliese 765.1 B', 'GJ 765.1 B', 'BD+50 2848', '2MASS J19415198+5031032', 'KIC 12069449']",1.07 M_s,,6.86,4.7,,4.99,4.65,6.2,,,,21.146 pc,,,,Binary('16 Cygni'),[Planet('16 Cygni B b')],[],Cold Jupiter,,,,,,,,,16 Cygni B,Flags(),System('16 Cygni'),1.127 R_s,6.8 Gyr,6901.0,86427.0,504.0,GJ 765.1 B
7,G6III,4979.0 K,-0.052,"['18 Delphini', 'HD 199665', 'HIP 103527', 'TYC 1107-2709-1', 'SAO 106712', 'HR 8030', 'BD+10 4425', '2MASS J20582594+1050214', 'Gaia DR2 1756741374681702784', 'Musica']",2.3 M_s,,6.44,3.44,,4.032,3.366,5.522,,,,75.3 pc,,314d36m29.0095s,10d50m21.4289s,System('18 Del'),[Planet('18 Del b')],[],Cold Jupiter,,,,,,,,,18 Del,Flags(),System('18 Del'),8.5 R_s,,3527.0,99665.0,30.0,
8,M0V,4060.0 K,,"['1RXS J160929.1-210524', 'GSC 6213-1358']",0.85 M_s,,,9.109,,9.764,8.891,,,,,145.0 pc,,242d22m30s,-21d04m58s,System('1RXS1609'),[Planet('1RXS1609 b')],[],Hot Jupiter,,,,,,,,,1RXS1609,Flags(),System('1RXS1609'),1.35 R_s,0.011 Gyr,,,,
9,K5,,,['1SWASP J140747.93-394542.6'],,,,,,,,,,,,133.0 pc,,211d56m58.95s,-39d45m42.7s,System('1SWASP J1407'),[Planet('1SWASP J1407 b')],[],None Jupiter,,,,,,,,,1SWASP J1407,Flags(lculated Temperature'),System('1SWASP J1407'),0.99 R_s,0.016 Gyr,,,,
10,G3IV,4893.0 K,-0.77,"['HD 127243', 'HIP 70791', 'TYC 3475-1198-1', 'Gaia DR2 1603662211901473408']",0.99 M_s,,,3.34,,3.845,3.159,5.58,,,,96.25 pc,,217d09m27.195s,49d50m41.461s,System('24 Boo'),[Planet('24 Boo b')],[],Warm Jupiter,,,,,,,,,24 Boo,Flags(),System('24 Boo'),10.64 R_s,,791.0,27243.0,,
11,G5,5098.0 K,-0.03,"['24 Sextantis', 'HD 90043', 'HIP 50887', 'TYC 4905-1374-1', 'SAO 137532', 'BD-00 2332', '2MASS J10232836-0054079', 'Gaia DR2 3830897080395058048']",1.54 M_s,,7.4,4.486,,5.292,4.285,7.38,,,,74.8 pc,,155d52m05.5395s,-0d54m08.0771s,System('24 Sex'),"[Planet('24 Sex b'), Planet('24 Sex c')]",[],Cold Jupiter,Cold Jupiter,,,,,,,,24 Sex,Flags(),System('24 Sex'),4.9 R_s,2.7 Gyr,887.0,43.0,,
12,M4.5,3400.0 K,,"['2M 044145 A', '2MASS J04414565+2301580 A']",0.2 M_s,,,10.19,,10.77,9.94,,,,,145.0 pc,,,,Binary('2M 044145'),[],[],,,,,,,,,,2M0441+2301 Aa,Flags(),System('2M 044144'),1.1 R_s,,,,,
13,M7±1,2800.0 K,,"['2M 044145 B', '2MASS J04414565+2301580 B']",0.033 M_s,,,13.3,,13.73,12.71,,,,,145.0 pc,,,,Binary('2M 044145'),[],[],,,,,,,,,,2M0441+2301 Ab,Flags(),System('2M 044144'),,,,,,
14,M7,2100.0 K,,"['2M 044144 A', '2MASS J04414489+2301513', '2MASS J04414489+2301513 A', '2M0441+2301 Ba', '2M0441+2301 B']",0.018 M_s,,,14.03,,,13.46,,,,,145.0 pc,,,,Binary('2M0441+2301'),[Planet('2M 044144 b')],[],Warm Jupiter,,,,,,,,,2M 044144,Flags(),System('2M 044144'),,,,,,
15,L0/L1.5,2205.0 K,,['2MASS J07464256+2000321 A'],0.12 M_s,,,,,,,17.7,,,,12.21 pc,,116d40m38.43s,20d00m32.18s,System('2M 0746+20'),[Planet('2M 0746+20 b')],[],Cold Jupiter,,,,,,,,,2M 0746+20,Flags(),System('2M 0746+20'),0.089 R_s,,,,,
16,M8,2550.0 K,,"['2MASS J12073346-3932539', 'Gaia DR2 3459372646830687104']",0.025 M_s,,,12.388,15.88,12.995,11.945,20.15,,,,59.0 pc,,181d53m22.014s,-39d32m54.016s,System('2M1207'),[Planet('2M1207 b')],[],Warm Jupiter,,,,,,,,,2M1207,Flags(),System('2M1207'),,,,,,
17,sdBV,29564.0 K,,"['Kepler-451 A', 'KIC 9472174 A', '2MASS J19383260+4603591 A', 'WISE J193832.61+460358.9 A', 'TYC 3556-3568-1 A', 'NSVS 5629361 A']",0.48 M_s,,12.17,12.889,12.399,12.757,12.955,12.69,,,,400.8 pc,,,,Binary('2M 1938+4603'),[],[],,,,,,,,,,2M 1938+4603 A,Flags(),System('2M 1938+4603'),0.223 R_s,,,,,
18,M,,,"['Kepler-451 B', 'KIC 9472174 B', '2MASS J19383260+4603591 B', 'WISE J193832.61+460358.9 B', 'TYC 3556-3568-1 B', 'NSVS 5629361 B']",0.12 M_s,,,,,,,,,,,400.8 pc,,,,Binary('2M 1938+4603'),[],[],,,,,,,,,,2M 1938+4603 B,Flags(),System('2M 1938+4603'),0.158 R_s,,,,,
19,M8.5/L2,2300.0 K,,['2MASS J21402931+1625183'],0.08 M_s,,,,,,,,,,,25.0 pc,,325d07m15s,16d25m18s,System('2M 2140+16'),[Planet('2M 2140+16 b')],[],Cold Jupiter,,,,,,,,,2M 2140+16,Flags(),System('2M 2140+16'),0.1 R_s,,,,,
20,M8,2350.0 K,,['2MASS J22062280-2047058'],0.13 M_s,,,,,,,19.788,,,,26.67 pc,,331d35m42.03s,-20d47m05.9s,System('2M 2206-20'),[Planet('2M 2206-20 b')],[],Cold Jupiter,,,,,,,,,2M 2206-20,Flags(),System('2M 2206-20'),0.11 R_s,,,,,
21,M3.5,,,['2MASS 0122-2439 A'],0.4 M_s,,,9.47,11.3,10.02,9.17,14.24,,,,36.0 pc,,20d42m44.07s,-24d39m50.65s,System('2MASS 0122-2439'),[Planet('2MASS 0122-2439 B')],[],None Jupiter,,,,,,,,,2MASS J01225093-2439505 A,Flags(lculated Temperature'),System('2MASS 0122-2439'),,0.12 Gyr,,,,
22,M5.5/M6,,,[],0.19 M_s,,,6.78,,7.36,6.44,,,,,47.2 pc,,15d54m00s,-55d15m56s,System('2MASS J01033563-5515561 A'),[Planet('2MASS J01033563-5515561 A b')],[],None Jupiter,,,,,,,,,2MASS J01033563-5515561 A,Flags(lculated Temperature'),System('2MASS J01033563-5515561 A'),,,,,,
23,M6γ,3064.0 K,,"['2MASS J0219-3925 A', '2MASS J02192210-3925225', '2MASS J02192210-3925225 A']",0.108 M_s,,18.5,10.855,13.42,11.321,10.444,,,,,39.4 pc,,34d50m31.5s,-39d25m22.5s,System('2MASS J0219-3925'),[Planet('2MASS J0219-3925 B')],[],Warm Jupiter,,,,,,,,,2MASS J0219-3925,Flags(),System('2MASS J0219-3925'),0.281 R_s,0.04 Gyr,,,,
24,M6,,,['2MASS J0249-0557 A'],0.0458 M_s,,,,,,11.73,,,,,48.9 pc,,,,Binary('2MASS J02495639-0557352'),[],[],,,,,,,,,,2MASS J02495639-0557352 A,Flags(),System('2MASS J02495639-0557352'),,0.022 Gyr,,,,
25,M6,,,['2MASS J0249-0557 B'],0.042 M_s,,,,,,11.85,,,,,48.9 pc,,,,Binary('2MASS J02495639-0557352'),[],[],,,,,,,,,,2MASS J02495639-0557352 B,Flags(),System('2MASS J02495639-0557352'),,0.022 Gyr,,,,
26,K7V,4045.0 K,,['Gaia DR2 1986772848034988544'],0.6 M_s,,,9.338,,9.975,9.148,12.51,,,,74.0 pc,,339d06m07.881s,47d51m42.5312s,System('2MASS J22362452+4751425'),[Planet('2MASS J22362452+4751425 b')],[],None Jupiter,,,,,,,,,2MASS J22362452+4751425,Flags(),System('2MASS J22362452+4751425'),,,,,,
27,F5V,6462.0 K,,['30 Arietis Aa'],1.31 M_s,,6.86,5.58,,5.681,5.479,6.48,,,,45.2 pc,,,,Binary('30 Ari A'),[],[],,,,,,,,,,30 Ari Aa,Flags(),System('30 Ari'),1.37 R_s,0.86 Gyr,,,,
28,,,,['30 Arietis Ab'],0.14 M_s,,,,,,,,,,,45.2 pc,,,,Binary('30 Ari A'),[],[],,,,,,,,,,30 Ari Ab,Flags(),System('30 Ari'),,,,,,
29,F8V,6424.0 K,0.07,"['30 Arietis B', 'HD 16232', 'HIP 12184', 'TYC 1771-1397-1', 'SAO 75470', 'HR 764', 'BD+24 375', '2MASS J02365772+2438530', 'WDS J02370+2439 B']",1.16 M_s,,7.59,5.908,,6.08,5.9,7.091,,,,45.2 pc,,,,Binary('30 Ari BC'),[Planet('30 Ari B b')],[],Cold Jupiter,,,,,,,,,30 Ari B,Flags(),System('30 Ari'),1.13 R_s,0.91 Gyr,2184.0,6232.0,64.0,
30,M1V,,,"['30 Arietis C', 'WDS J02370+2439 C']",0.5 M_s,,,,,9.57,8.74,,,,,45.2 pc,,,,Binary('30 Ari BC'),[],[],,,,,,,,,,30 Ari C,Flags(),System('30 Ari'),,,,,,
31,F6 V,6557.0 K,0.07,"['TYC 4953-1222-1', 'Gaia DR2 3679242575447826432', 'HIP 62875', 'HD 111998', 'GJ 9421']",1.18 M_s,,,,,,,6.11,,,,33.3 pc,,193d17m47.346s,-3d33m11.1481s,System('38 Vir'),[Planet('38 Vir b')],[],Cold Jupiter,,,,,,,,,38 Vir,Flags(),System('38 Vir'),1.45 R_s,1.9 Gyr,2875.0,11998.0,,GJ 9421
32,K1.5III,4200.0 K,-0.46,"['42 Draconis', 'HD 170693', 'HIP 90344', 'TYC 4222-2311-1', 'SAO 17888', 'HR 6945', 'BD+65 1271', '2MASS J18255915+6533486', 'Gaia DR2 2256800156348230400', 'Fafnir']",0.98 M_s,,6.02,2.197,,2.949,2.085,4.833,,,,96.5 pc,,276d29m47.0601s,65d33m48.5288s,System('42 Dra'),[Planet('42 Dra b')],[],Warm Jupiter,,,,,,,,,42 Dra,Flags(),System('42 Dra'),22.03 R_s,9.49 Gyr,344.0,70693.0,945.0,
33,G0V,5818.7 K,-0.019,"['47 Ursae Majoris', 'HD 95128', 'HIP 53721', 'TYC 3009-2703-1', 'SAO 43557', 'HR 4277', 'Gliese 407', 'GJ 407', 'BD+41 2147', '2MASS J10592802+4025485', 'Chalawan', 'Gaia DR2 777254360337133312']",1.063 M_s,,5.66,3.736,4.4,3.96,3.75,5.04,,,,14.063 pc,,164d51m59.5923s,40d25m48.9202s,System('47 UMa'),"[Planet('47 UMa b'), Planet('47 UMa c'), Planet('47 UMa d')]",[],Cold Jupiter,Cold Jupiter,Cold Jupiter,,,,,,,47 UMa,Flags(),System('47 UMa'),1.24 R_s,6.48 Gyr,3721.0,5128.0,277.0,GJ 407
34,K1III,4415.0 K,-0.25,"['4 Ursae Majoris', 'pi.02 UMa', 'Pi-2 Ursae Majoris', 'π2 Ursae Majoris', 'HD 73108', 'HIP 42527', 'TYC 4130-2355-1', 'SAO 14616', 'BD+64 698', 'HR 3404', '2MASS J08401279+6419405', 'Gaia DR2 1092230803510960640']",1.234 M_s,,5.787,1.94,3.09,2.48,1.88,5.787,,,,78.5 pc,,130d03m12.265s,64d19m40.57s,System('4 UMa'),[Planet('4 UMa b')],[],Warm Jupiter,,,,,,,,,4 UMa,Flags(),System('4 UMa'),18.11 R_s,4.604 Gyr,2527.0,3108.0,404.0,
35,M0,,,"['WDS J04376-0228 Ca', 'KAS 1 A']",0.67 M_s,,,,,,,7.7,,,,29.4 pc,,,,Binary('GJ 3305'),[],[],,,,,,,,,,GJ 3305 A,Flags(),System('51 Eri'),,,,,,GJ 3305 A
36,M3,,,"['WDS J04376-0228 Cb', 'KAS 1 B']",0.44 M_s,,,,,,,10.9,,,,29.4 pc,,,,Binary('GJ 3305'),[],[],,,,,,,,,,GJ 3305 B,Flags(),System('51 Eri'),,,,,,GJ 3305 B
37,F0IV,,-0.027,"['51 Eridani', 'c Eri', 'c Eridani', 'HD 29391', 'HIP 21547', 'TYC 4739-1551-1', '2MASS J04373613-0228248', 'HR 1474', 'BD-02 963', 'WDS J04376-0228 A', 'WAL 32 A']",1.75 M_s,,5.485,4.6,,4.68,4.56,5.223,,,,29.4 pc,,,,Binary('WDS J04376-0228'),[Planet('51 Eri b')],[],Cold Jupiter,,,,,,,,,51 Eri,Flags(),System('51 Eri'),,0.02 Gyr,1547.0,9391.0,474.0,
38,G2 IV,5793.0 K,0.2,"['HD 217014', 'HIP 113357', 'HR 8729', 'BD+19 5036', 'Gliese 882', 'SAO 90896', 'TYC 1717-2193-1', 'Helvetios', 'GJ 882', 'Gaia DR2 2835207319109249920']",1.04 M_s,,6.16,4.23,4.7,4.66,3.911,5.49,,,,14.7 pc,,344d21m59.706s,20d46m07.7822s,System('51 Peg'),[Planet('51 Peg b')],[],Warm Jupiter,,,,,,,,,51 Peg,Flags(),System('51 Peg'),1.266 R_s,,13357.0,17014.0,729.0,GJ 882
39,K0IV-V,5172.0 K,0.35,"['55 Cnc A', 'rho01 Cancri A', 'rho01 Cnc A', 'Rho¹ Cancri A', 'Rho¹ Cnc A', 'Rho-1 Cancri A', 'Rho-1 Cnc A', 'ρ1 Cancri A', 'ρ1 Cnc A', 'ρ¹ Cancri A', 'ρ¹ Cnc A', 'HD 75732', 'HIP 43587', 'TYC 1949-2012-1', 'Gaia DR2 704967037090946688', 'SAO 80478', 'HR 3522', 'Gliese 324 A', 'GJ 324 A', 'BD+28 1660 A', '2MASS J08523579+2819509', 'WDS J08526+2820 A', 'LDS 6219 A']",0.905 M_s,,6.82,4.265,5.0,4.768,4.015,5.95,,,,12.5901 pc,,,,Binary('55 Cancri'),"[Planet('55 Cancri b'), Planet('55 Cancri c'), Planet('55 Cancri d'), Planet('55 Cancri e'), Planet('55 Cancri f')]",[],Cold Jupiter,Cold Jupiter,Cold Jupiter,Hot Super-Earth,Cold Jupiter,,,,,55 Cancri A,Flags(),System('55 Cancri'),0.943 R_s,,3587.0,5732.0,522.0,GJ 324 A
