,right_ascension,altnames,list,declination,distance,child_stars_binaries,epoch,name,all_children,flags
0,185d10m45.3825s,,,17d47m34.3392s,88.9 pc,[Star('11 Com')],,11 Com,[Star('11 Com')],Flags()
1,229d16m28.3348s,,,71d49m26.0466s,122.1 pc,[Star('11 UMi')],,11 UMi,[Star('11 UMi')],Flags()
2,352d49m21.2019s,,,39d14m10.3092s,79.2 pc,[Star('14 And')],,14 And,[Star('14 And')],Flags()
3,242d36m04.728s,,,43d49m03.4987s,18.1 pc,[Star('14 Her')],,14 Her,[Star('14 Her')],Flags()
4,295d27m14.3014s,,,50d31m30.2153s,21.146 pc,[Binary('16 Cygni')],,16 Cygni,[Binary('16 Cygni')],Flags()
5,314d36m29.0095s,,,10d50m21.4289s,75.3 pc,[Star('18 Del')],,18 Del,[Star('18 Del')],Flags()
6,242d22m30s,,,-21d04m58s,145.0 pc,[Star('1RXS1609')],,1RXS1609,[Star('1RXS1609')],Flags()
7,211d56m58.95s,,,-39d45m42.7s,133.0 pc,[Star('1SWASP J1407')],,1SWASP J1407,[Star('1SWASP J1407')],Flags()
8,217d09m27.195s,,,49d50m41.461s,96.25 pc,[Star('24 Boo')],,24 Boo,[Star('24 Boo')],Flags()
9,155d52m05.5395s,,,-0d54m08.0771s,74.8 pc,[Star('24 Sex')],,24 Sex,[Star('24 Sex')],Flags()
10,70d26m24.78s,,,23d01m58.07s,145.0 pc,[Binary('2M0441+2301')],,2M 044144,[Binary('2M0441+2301')],Flags()
11,116d40m38.43s,,,20d00m32.18s,12.21 pc,[Star('2M 0746+20')],,2M 0746+20,[Star('2M 0746+20')],Flags()
12,181d53m22.014s,,,-39d32m54.016s,59.0 pc,[Star('2M1207')],,2M1207,[Star('2M1207')],Flags()
13,294d38m09s,,,46d03m59s,400.8 pc,[Binary('2M 1938+4603')],,2M 1938+4603,[Binary('2M 1938+4603')],Flags()
14,325d07m15s,,,16d25m18s,25.0 pc,[Star('2M 2140+16')],,2M 2140+16,[Star('2M 2140+16')],Flags()
15,331d35m42.03s,,,-20d47m05.9s,26.67 pc,[Star('2M 2206-20')],,2M 2206-20,[Star('2M 2206-20')],Flags()
16,20d42m44.07s,,,-24d39m50.65s,36.0 pc,[Star('2MASS J01225093-2439505 A')],,2MASS 0122-2439,[Star('2MASS J01225093-2439505 A')],Flags()
17,15d54m00s,,,-55d15m56s,47.2 pc,[Star('2MASS J01033563-5515561 A')],,2MASS J01033563-5515561 A,[Star('2MASS J01033563-5515561 A')],Flags()
18,34d50m31.5s,,,-39d25m22.5s,39.4 pc,[Star('2MASS J0219-3925')],,2MASS J0219-3925,[Star('2MASS J0219-3925')],Flags()
19,42d29m05.8274s,,,-5d57m35.4108s,48.9 pc,[Binary('2MASS J02495639-0557352')],,2MASS J02495639-0557352,[Binary('2MASS J02495639-0557352')],Flags()
20,339d06m07.881s,,,47d51m42.5312s,74.0 pc,[Star('2MASS J22362452+4751425')],,2MASS J22362452+4751425,[Star('2MASS J22362452+4751425')],Flags()
21,39d15m07.8544s,,,24d38m49.9957s,45.2 pc,[Binary('30 Ari')],,30 Ari,[Binary('30 Ari')],Flags()
22,193d17m47.346s,,,-3d33m11.1481s,33.3 pc,[Star('38 Vir')],,38 Vir,[Star('38 Vir')],Flags()
23,276d29m47.0601s,,,65d33m48.5288s,96.5 pc,[Star('42 Dra')],,42 Dra,[Star('42 Dra')],Flags()
24,164d51m59.5923s,,,40d25m48.9202s,14.063 pc,[Star('47 UMa')],,47 UMa,[Star('47 UMa')],Flags()
25,130d03m12.265s,,,64d19m40.57s,78.5 pc,[Star('4 UMa')],,4 UMa,[Star('4 UMa')],Flags()
26,69d24m01.9851s,,,-2d28m24.7749s,29.4 pc,[Binary('WDS J04376-0228')],,51 Eri,[Binary('WDS J04376-0228')],Flags()
